method,n_samples,n_held_out_groups,accuracy,balanced_accuracy,auroc,macro_f1,mcc,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,auroc_ci_low,auroc_ci_high,macro_f1_ci_low,macro_f1_ci_high,mcc_ci_low,mcc_ci_high
logistic_top,3097,4,0.4675492412011624,0.5048134188638069,0.5209666570089071,0.43586117793314294,0.011921477615075005,0.20505456634118321,0.8045722713864307,0.20505456634118321,0.8045722713864307,,,0.1701620591039085,0.5073900087642419,-0.08312806818160397,0.10531522295428823
linear_svm_top,3097,4,0.46302873748789153,0.50446205432405,0.5411225705228236,0.4206080098636936,0.011863245788505321,0.17116599655370476,0.8377581120943953,0.17116599655370476,0.8377581120943953,,,0.14615007356547327,0.493680212930045,-0.04098496885385479,0.07029109446820751
dummy_majority,3097,4,0.562156926057475,0.5,0.5,0.35985944605208764,0.0,0.0,1.0,0.0,1.0,,,0.0,1.0,0.0,0.0
nearest_centroid_top,3097,4,0.4300936390054892,0.48201792954579725,0.49143953988400524,0.3464405000391571,-0.06573956951761453,0.064330844342332,0.8997050147492626,0.064330844342332,0.8997050147492626,,,0.060442525634106854,0.5089639445883953,-0.14166796222336375,0.04369235368702356
geneformer_v1,3097,4,0.4216984178237004,0.4723493686027933,0.4550024652701885,0.3416354807454805,-0.09629598828143612,0.06490522688110281,0.8797935103244838,0.06490522688110281,0.8797935103244838,,,0.06094929881337648,0.5058478101296795,-0.18464418255010953,0.027991735615502163
