method,n_samples,n_held_out_groups,accuracy,balanced_accuracy,auroc,macro_f1,mcc,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,auroc_ci_low,auroc_ci_high,macro_f1_ci_low,macro_f1_ci_high,mcc_ci_low,mcc_ci_high
logistic_all,30,5,0.9666666666666667,0.9666666666666667,0.9377777777777778,0.9666295884315907,0.9354143466934853,0.9,1.0,0.9,1.0,0.8400000000000001,1.0,0.898989898989899,1.0,0.816496580927726,1.0
nearest_centroid_top,30,5,0.9333333333333333,0.9333333333333333,0.9222222222222223,0.9333333333333333,0.8666666666666667,0.8666666666666667,1.0,0.8666666666666667,1.0,0.8465,1.0,0.8660714285714286,1.0,0.7333333333333333,1.0
linear_svm_top,30,5,0.8666666666666667,0.8666666666666667,0.9377777777777778,0.8660714285714286,0.7399400733959437,0.6666666666666666,1.0,0.6666666666666667,1.0,0.8400000000000001,1.0,0.6411483253588517,1.0,0.39405520311955033,1.0
logistic_top,30,5,0.7666666666666667,0.7666666666666666,0.9377777777777778,0.76,0.565685424949238,0.5666666666666667,0.9666666666666667,0.5666666666666667,0.9666666666666667,0.8400000000000001,1.0,0.4993581514762516,0.9666295884315907,0.19611613513818404,0.9354143466934853
dummy_majority,30,5,0.5,0.5,0.5,0.3333333333333333,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0
