TF,regulon_score,p_act,p_rep,n_act,n_rep,mode
HDAC3,0.2527747919206357,0.5587598705697758,0.9747154676042591,10,8,activation-targets-up
AIRE,0.2527747919206357,0.5587598705697758,1.0,10,0,activation-targets-up
BCL11B,0.2527747919206357,0.5587598705697758,0.6911288200832713,10,8,activation-targets-up
MED1,0.2527747919206357,0.5587598705697758,1.0,10,2,activation-targets-up
BMAL1,0.25262499786631093,0.5589526276643242,0.7749328377831166,40,2,activation-targets-up
ARID4B,0.2497039764254081,1.0,0.5627247586494115,0,9,repression-targets-down
SMAD6,0.2497039764254081,0.8823960091390067,0.5627247586494115,9,9,repression-targets-down
LEF1,0.2449322793663301,0.8024748720630223,0.5689416404319292,54,11,repression-targets-down
BCLAF1,0.236925446692168,0.5795281727863821,1.0,8,0,activation-targets-up
CREB3,0.236925446692168,0.5795281727863821,1.0,8,0,activation-targets-up
TEAD4,0.236925446692168,0.5795281727863821,1.0,8,0,activation-targets-up
BARX1,0.236925446692168,0.5795281727863821,1.0,8,0,activation-targets-up
TFAP2A,0.22954725324097558,0.6407397647641521,0.5894578378470972,211,19,repression-targets-down
HSF2,0.22801068211945025,0.5915470840151837,0.7248693867068587,19,4,activation-targets-up
HDAC1,0.22232574099803398,0.6071895335826332,0.5993413738081804,6,56,repression-targets-down
NR4A2,0.21872783882638847,0.6043272270538467,0.9945980836775955,30,7,activation-targets-up
HHEX,0.21738345641159632,0.6062008536281458,1.0,17,2,activation-targets-up
SOX17,0.21738345641159632,0.6062008536281458,0.7802658440658237,17,11,activation-targets-up
POU3F2,0.21738345641159632,0.6062008536281458,1.0,17,1,activation-targets-up
FOXF2,0.2166757231904483,0.6071895335826332,0.7248693867068587,6,4,activation-targets-up
ATOH7,0.2166757231904483,0.6071895335826332,1.0,6,0,activation-targets-up
ZNF236,0.2166757231904483,0.6071895335826332,1.0,6,0,activation-targets-up
PRDM4,0.2166757231904483,0.6071895335826332,1.0,6,0,activation-targets-up
MYRF,0.2166757231904483,0.6071895335826332,1.0,6,0,activation-targets-up
HMGB2,0.2166757231904483,0.6071895335826332,1.0,6,0,activation-targets-up
TBXT,0.2166757231904483,0.6071895335826332,1.0,6,0,activation-targets-up
TSC22D1,0.2166757231904483,0.6071895335826332,1.0,6,0,activation-targets-up
NFE2L2,0.2138449819415455,0.6111601348631275,0.9876361937040947,148,12,activation-targets-up
NFIA,0.21091492658699612,0.6152973907560715,0.8132675344387992,28,7,activation-targets-up
KAT5,0.21041845374433626,0.6160011830698238,0.8932368120256673,41,3,activation-targets-up
TBX2,0.2055961907653458,0.6228791722474362,0.6842093878685989,15,10,activation-targets-up
GATA5,0.2055961907653458,0.6228791722474362,1.0,15,0,activation-targets-up
BHLHE40,0.2055961907653458,0.6228791722474362,0.851871372249225,15,12,activation-targets-up
NFKBIB,0.2055961907653458,0.6228791722474362,1.0,15,0,activation-targets-up
NFYC,0.2055961907653458,0.6228791722474362,1.0,15,1,activation-targets-up
RUNX3,0.1938521570441069,0.639952651718847,0.7446435970098149,24,25,activation-targets-up
EGR1,0.1923977553213391,0.6420993712904706,0.8840900348649748,226,30,activation-targets-up
FOXJ1,0.19231883267435118,0.642216068114849,1.0,13,0,activation-targets-up
EWSR1,0.18625677440975172,0.651243235950421,0.8428706743389505,46,5,activation-targets-up
NCOA1,0.18165495357072226,0.6581805533157237,1.0,57,0,activation-targets-up
FOXP1,0.1770622559346725,0.66517779640453,1.0,11,2,activation-targets-up
SCX,0.1770622559346725,0.66517779640453,1.0,11,0,activation-targets-up
NFIL3,0.1770622559346725,0.66517779640453,0.9747154676042591,11,8,activation-targets-up
TAL1,0.17657984078371747,0.6659170877151367,0.8428706743389505,55,5,activation-targets-up
CTNNB1,0.17535773577204156,0.6677936179611854,0.8255666849673723,195,47,activation-targets-up
POU2F2,0.17432643203433665,0.6693812881804702,1.0,20,1,activation-targets-up
TWIST1,0.1742842954013369,0.6694462368344112,0.6753320657295845,42,20,activation-targets-up
POU5F1,0.16999212828308363,0.7500278170297485,0.6760952297084586,37,16,repression-targets-down
GFI1,0.16747952460678722,0.9555735055830588,0.6800181046090616,22,12,repression-targets-down
ZHX2,0.1648109712623875,1.0,0.6842093878685989,0,10,repression-targets-down
KLF15,0.16334983754804477,0.6865152081294852,1.0,18,1,activation-targets-up
NCOA2,0.16153103469026162,0.6893963271386778,1.0,38,0,activation-targets-up
TTF1,0.16153103469026162,0.6893963271386778,1.0,38,2,activation-targets-up
ATF4,0.1610025622601787,0.6902357315602115,0.8865507630521158,86,8,activation-targets-up
CTBP1,0.16044099656631988,1.0,0.6911288200832713,0,8,repression-targets-down
MTA1,0.16044099656631988,0.9972752901168055,0.6911288200832713,29,8,repression-targets-down
HEY1,0.16044099656631988,0.9935653921552178,0.6911288200832713,15,8,repression-targets-down
HOXD3,0.15905968328733702,0.6933305179350169,1.0,9,0,activation-targets-up
CTCFL,0.15905968328733702,0.6933305179350169,1.0,9,0,activation-targets-up
UBTF,0.15905968328733702,0.6933305179350169,1.0,9,0,activation-targets-up
BHLHA15,0.15905968328733702,0.6933305179350169,1.0,9,0,activation-targets-up
KCNIP3,0.15905968328733702,0.6933305179350169,1.0,9,1,activation-targets-up
KAT6A,0.15905968328733702,0.6933305179350169,1.0,9,0,activation-targets-up
BCL6,0.15482039618243804,0.7001314776641985,0.7467258292418719,36,23,activation-targets-up
NEUROD1,0.15482039618243804,0.7001314776641985,0.7749328377831166,36,2,activation-targets-up
ATF1,0.15387458750406707,0.7016578889812356,0.7749328377831166,58,2,activation-targets-up
FOXG1,0.15309135389038583,0.8193741787376768,0.7029244441000757,8,6,repression-targets-down
TCF3,0.15309135389038583,0.7755751644890722,0.7029244441000757,71,6,repression-targets-down
MAX,0.15309135389038583,0.8413578681095107,0.7029244441000757,30,6,repression-targets-down
NCOR2,0.15309135389038583,0.8925603600716144,0.7029244441000757,41,6,repression-targets-down
MYB,0.14783641011620774,0.7114814637574319,0.8132675344387992,117,7,activation-targets-up
DNMT1,0.14783641011620774,0.7114814637574319,0.9028199449227141,117,13,activation-targets-up
HMGA1,0.14351482400830534,0.7185966297146411,0.9493592871319367,43,4,activation-targets-up
ZMYND8,0.14038640227236163,0.7237916985835304,0.9886089705045423,2,6,activation-targets-up
KDM5C,0.13974024135002316,0.972116700741087,0.7248693867068587,9,4,repression-targets-down
KLF13,0.13974024135002316,0.7294319265059412,0.7248693867068587,7,4,repression-targets-down
